	question_id	question	query	background
0	EQ101	What features of SARS-CoV2 are targeted in vaccine development? 	coronavirus vaccine landscape	Seeking information on guiding principles for the design of COVID-19 vaccine strategies and analyses of the current COVID-19 vaccine landscape and the challenges. 
1	EQ102	How do cytokine pathways link sleep and immunity to infection and COVID-19?	Sleep prevent covid	Looking for information on bidirectional interactions between sleep, health and immunity in animal and human studies, both for COVID-19 and in general.
2	EQ103	When is it safe to discharge a COVID-19 patient with pneumonia? 	COVID-19 hospital discharge	Looking for guidelines on discharging COVID-19 patients. The following aspects are of interest: duration of SARS-CoV-2 virus shedding in bodily fluids  after remission and in asymptomatic patients; tests to document the lack of infectivity after infection, and the longest documented transmission.
3	EQ104	What endocrine complications are  linked to COVID-19?	endocrine complications covid-19	Looking for studies investigating whether SARS-CoV-2 may directly attack the endocrine glands, which glands could be affected and what are the short- and long-term manifestations 
4	EQ105	What is the duration of protection and immunity to SARS-CoV-2? 	COVID-19 immunity duration	Looking for longitudinal serological studies that follow patients’ immunity to study the duration of immunity. Models of protective immunity are also of interest.
5	EQ106	What are the safety, tolerability, and immunogenicity properties of COVID-19 vaccines?	adverse reactions to COVID-19 vaccines	Looking for studies that evaluate tolerability and immunogenicity of COVID-19 vaccine in humans. The adverse events post-vaccination are of interest. 
6	EQ107	What are the results of remdesivir trials for the treatment of COVID-19?	results of remdesivir trials	Looking for studies that evaluate improvement in clinical course, duration and severity of COVID-19 in people treated with remdesivir. The adverse reactions to the drug are of interest.
7	EQ108	What is the diagnostic accuracy of the available COVID-19 tests?	covid tests accuracy	Looking for studies reporting the sensitivity and specificity of the available COVID-19 diagnostic tests.
8	EQ109	Is the association between COVID-19 and diabetes driven by the dpp4 receptor?	covid-19  diabetes dpp4	Looking for studies on the role DPP4 plays in glucose and insulin metabolism and inflammation, as well as potential effect of DPP4 inhibitors on COVID-19
9	EQ110	What are the pros and cons for various types of masks in children aged 6 to 12 for COVID-19 prevention? 	masks for children at school 	Looking for studies on efficiency of different mask type for COVID-19 prevention in children, including compliance and psychological and physiologic effects.
10	EQ111	What factors influence the duration of protection and immunity to SARS-CoV-2?  	Factors that influence duration of immunity to COVID-19	Looking for studies of lasting immunity to SARS-CoV-2, such as severity of disease. Studies of reinfection with the same seasonal coronavirus are also of interest.
11	EQ112	What are the implications of the known COVID-19 reinfection cases for vaccination?	COVID-19 reinfection	Looking for studies confirming that people have been infected by the same virus a second time, the severity of infection, the frequency of reinfection and the protectiveness of the vaccines. 
